,country,year,age,sex,Average_suicides_per_capita
19307,Poland,2011-01-01,75+ years,male,32.16
7329,Czech Republic,2009-01-01,35-54 years,male,32.15
25495,Trinidad and Tobago,2000-01-01,25-34 years,male,32.15
24353,Suriname,2013-01-01,55-74 years,male,32.15
15333,Luxembourg,1987-01-01,25-34 years,male,32.15
13806,Kazakhstan,1995-01-01,75+ years,female,32.14
2155,Austria,2015-01-01,55-74 years,male,32.13
27393,Uruguay,2001-01-01,35-54 years,male,32.12
9779,Germany,1995-01-01,55-74 years,male,32.12
21006,Russian Federation,1994-01-01,75+ years,female,32.12
3725,Belgium,2008-01-01,55-74 years,male,32.11
19095,Poland,1992-01-01,25-34 years,male,32.1
5323,Chile,1989-01-01,75+ years,male,32.08
8587,Estonia,2014-01-01,35-54 years,male,32.08
12201,Ireland,1997-01-01,15-24 years,male,32.07
19349,Poland,2015-01-01,35-54 years,male,32.05
19745,Puerto Rico,1990-01-01,35-54 years,male,32.03
12511,Israel,1992-01-01,75+ years,male,31.99
13501,Japan,1996-01-01,35-54 years,male,31.99
7177,Czech Republic,1996-01-01,55-74 years,male,31.98
16493,Mauritius,2010-01-01,75+ years,male,31.98
4931,Canada,1986-01-01,25-34 years,male,31.97
11675,Iceland,1985-01-01,15-24 years,male,31.96
12049,Iceland,2016-01-01,25-34 years,male,31.96
8115,El Salvador,1995-01-01,15-24 years,male,31.96
19355,Poland,2015-01-01,75+ years,male,31.92
6529,Croatia,2008-01-01,35-54 years,male,31.91
12583,Israel,1998-01-01,75+ years,male,31.91
21450,Saint Lucia,1998-01-01,75+ years,female,31.91
13003,Italy,2002-01-01,75+ years,male,31.91
7681,Denmark,2015-01-01,75+ years,male,31.91
25891,Turkmenistan,2001-01-01,25-34 years,male,31.89
20557,Republic of Korea,2012-01-01,25-34 years,male,31.88
14862,Latvia,2000-01-01,75+ years,female,31.87
16323,Mauritius,1996-01-01,55-74 years,male,31.87
22409,Singapore,1985-01-01,55-74 years,male,31.86
1928,Austria,1996-01-01,75+ years,female,31.86
13607,Japan,2005-01-01,25-34 years,male,31.85
1808,Austria,1986-01-01,75+ years,female,31.84
27549,Uruguay,2015-01-01,35-54 years,male,31.84
12703,Israel,2008-01-01,75+ years,male,31.82
11101,Guyana,1991-01-01,15-24 years,male,31.81
20994,Russian Federation,1993-01-01,75+ years,female,31.81
17951,Norway,1992-01-01,75+ years,male,31.8
19259,Poland,2007-01-01,75+ years,male,31.79
24083,Suriname,1989-01-01,25-34 years,male,31.75
22841,Slovakia,1997-01-01,55-74 years,male,31.75
21328,Saint Lucia,1988-01-01,55-74 years,female,31.75
11696,Iceland,1986-01-01,75+ years,female,31.75
7237,Czech Republic,2001-01-01,55-74 years,male,31.74
9001,Finland,2008-01-01,75+ years,male,31.72
20661,Romania,1993-01-01,75+ years,male,31.72
24445,Sweden,1993-01-01,35-54 years,male,31.71
13027,Italy,2004-01-01,75+ years,male,31.68
13679,Japan,2011-01-01,25-34 years,male,31.68
24065,Suriname,1987-01-01,55-74 years,male,31.67
24033,Suriname,1985-01-01,15-24 years,male,31.66
1545,Australia,1994-01-01,75+ years,male,31.66
24655,Sweden,2010-01-01,75+ years,male,31.66
6589,Croatia,2013-01-01,35-54 years,male,31.66
1787,Austria,1985-01-01,15-24 years,male,31.66
20289,Republic of Korea,1989-01-01,75+ years,male,31.62
17035,Montenegro,2007-01-01,35-54 years,male,31.62
23875,Spain,2013-01-01,75+ years,male,31.61
9395,France,2010-01-01,55-74 years,male,31.61
20685,Romania,1995-01-01,75+ years,male,31.61
13794,Kazakhstan,1994-01-01,75+ years,female,31.6
3443,Belgium,1985-01-01,25-34 years,male,31.6
1983,Austria,2001-01-01,35-54 years,male,31.6
22285,Seychelles,2006-01-01,35-54 years,male,31.59
25465,Trinidad and Tobago,1997-01-01,55-74 years,male,31.58
26395,Ukraine,2015-01-01,25-34 years,male,31.58
20803,Romania,2005-01-01,55-74 years,male,31.57
22033,Serbia,2003-01-01,35-54 years,male,31.57
19295,Poland,2010-01-01,75+ years,male,31.56
11232,Guyana,2003-01-01,15-24 years,female,31.56
20799,Romania,2005-01-01,35-54 years,male,31.55
7341,Czech Republic,2010-01-01,35-54 years,male,31.55
21510,Saint Lucia,2003-01-01,75+ years,female,31.54
13729,Japan,2015-01-01,35-54 years,male,31.54
1633,Australia,2002-01-01,25-34 years,male,31.54
17233,Netherlands,1998-01-01,75+ years,male,31.53
24421,Sweden,1991-01-01,35-54 years,male,31.53
6795,Cuba,2005-01-01,55-74 years,male,31.49
3659,Belgium,2003-01-01,25-34 years,male,31.47
17473,New Zealand,1987-01-01,15-24 years,male,31.47
3695,Belgium,2006-01-01,25-34 years,male,31.47
5395,Chile,1995-01-01,75+ years,male,31.46
24253,Suriname,2005-01-01,35-54 years,male,31.46
17895,Norway,1988-01-01,25-34 years,male,31.44
7487,Denmark,1999-01-01,55-74 years,male,31.44
6659,Cuba,1994-01-01,35-54 years,male,31.44
1497,Australia,1990-01-01,75+ years,male,31.42
19569,Portugal,2002-01-01,55-74 years,male,31.42
20647,Romania,1992-01-01,55-74 years,male,31.41
14013,Kazakhstan,2013-01-01,15-24 years,male,31.4
23839,Spain,2010-01-01,75+ years,male,31.4
17687,New Zealand,2004-01-01,75+ years,male,31.39
6638,Cuba,1992-01-01,55-74 years,female,31.39
899,Argentina,2010-01-01,75+ years,male,31.35
20883,Romania,2012-01-01,35-54 years,male,31.34
21985,Serbia,1999-01-01,35-54 years,male,31.33
20521,Republic of Korea,2009-01-01,25-34 years,male,31.32
25401,Trinidad and Tobago,1992-01-01,35-54 years,male,31.32
19151,Poland,1996-01-01,75+ years,male,31.3
15023,Latvia,2014-01-01,25-34 years,male,31.3
6462,Croatia,2002-01-01,75+ years,female,31.29
20731,Romania,1999-01-01,55-74 years,male,31.27
11669,Hungary,2016-01-01,35-54 years,male,31.27
20970,Russian Federation,1991-01-01,75+ years,female,31.26
22981,Slovakia,2009-01-01,35-54 years,male,31.26
20911,Romania,2014-01-01,55-74 years,male,31.25
9161,France,1991-01-01,25-34 years,male,31.24
20839,Romania,2008-01-01,55-74 years,male,31.24
4769,Bulgaria,2003-01-01,55-74 years,male,31.23
2165,Austria,2016-01-01,55-74 years,male,31.22
25423,Trinidad and Tobago,1994-01-01,25-34 years,male,31.22
17651,New Zealand,2001-01-01,75+ years,male,31.22
9015,Finland,2010-01-01,15-24 years,male,31.18
6235,Costa Rica,2003-01-01,75+ years,male,31.18
8525,Estonia,2009-01-01,25-34 years,male,31.17
24284,Suriname,2008-01-01,15-24 years,female,31.17
7377,Czech Republic,2013-01-01,35-54 years,male,31.16
20841,Romania,2008-01-01,75+ years,male,31.16
17655,New Zealand,2002-01-01,25-34 years,male,31.16
11268,Guyana,2006-01-01,15-24 years,female,31.16
8895,Finland,2000-01-01,15-24 years,male,31.14
17897,Norway,1988-01-01,35-54 years,male,31.14
24163,Suriname,1997-01-01,75+ years,male,31.14
13583,Japan,2003-01-01,25-34 years,male,31.13
17701,New Zealand,2006-01-01,15-24 years,male,31.12
2143,Austria,2014-01-01,55-74 years,male,31.1
20827,Romania,2007-01-01,55-74 years,male,31.1
17675,New Zealand,2003-01-01,75+ years,male,31.09
21225,Russian Federation,2013-01-01,15-24 years,male,31.09
21498,Saint Lucia,2002-01-01,75+ years,female,31.08
4139,Belize,2015-01-01,25-34 years,male,31.08
20719,Romania,1998-01-01,55-74 years,male,31.07
15126,Lithuania,2001-01-01,75+ years,female,31.06
13761,Kazakhstan,1992-01-01,15-24 years,male,31.05
6517,Croatia,2007-01-01,35-54 years,male,31.05
20853,Romania,2009-01-01,75+ years,male,31.03
17617,New Zealand,1999-01-01,15-24 years,male,31.03
24820,Switzerland,2002-01-01,75+ years,female,31.02
7405,Czech Republic,2015-01-01,55-74 years,male,31.02
20847,Romania,2009-01-01,35-54 years,male,31.01
24767,Switzerland,1998-01-01,35-54 years,male,31.01
13554,Japan,2000-01-01,75+ years,female,31.0
24779,Switzerland,1999-01-01,35-54 years,male,31.0
24903,Switzerland,2009-01-01,55-74 years,male,30.99
15435,Luxembourg,1995-01-01,55-74 years,male,30.99
20707,Romania,1997-01-01,55-74 years,male,30.99
22889,Slovakia,2001-01-01,55-74 years,male,30.98
24036,Suriname,1985-01-01,35-54 years,female,30.97
25539,Trinidad and Tobago,2003-01-01,75+ years,male,30.96
1549,Australia,1995-01-01,25-34 years,male,30.96
1309,Aruba,2002-01-01,25-34 years,male,30.96
27429,Uruguay,2004-01-01,35-54 years,male,30.95
4943,Canada,1987-01-01,25-34 years,male,30.95
8561,Estonia,2012-01-01,25-34 years,male,30.95
20581,Republic of Korea,2014-01-01,25-34 years,male,30.93
19223,Poland,2004-01-01,75+ years,male,30.93
4829,Bulgaria,2008-01-01,55-74 years,male,30.93
12167,Ireland,1994-01-01,25-34 years,male,30.92
6676,Cuba,1995-01-01,75+ years,female,30.92
15383,Luxembourg,1991-01-01,35-54 years,male,30.91
14657,Kyrgyzstan,2004-01-01,55-74 years,male,30.91
3785,Belgium,2013-01-01,55-74 years,male,30.9
13758,Kazakhstan,1991-01-01,75+ years,female,30.89
9065,Finland,2014-01-01,25-34 years,male,30.89
20403,Republic of Korea,1999-01-01,35-54 years,male,30.88
17927,Norway,1990-01-01,75+ years,male,30.88
5611,Chile,2013-01-01,75+ years,male,30.87
1533,Australia,1993-01-01,75+ years,male,30.87
3599,Belgium,1998-01-01,25-34 years,male,30.86
3797,Belgium,2014-01-01,55-74 years,male,30.85
4758,Bulgaria,2002-01-01,75+ years,female,30.84
27357,Uruguay,1998-01-01,35-54 years,male,30.84
1799,Austria,1986-01-01,15-24 years,male,30.82
24892,Switzerland,2008-01-01,75+ years,female,30.82
9709,Georgia,2015-01-01,75+ years,male,30.82
11139,Guyana,1994-01-01,25-34 years,male,30.82
15629,Luxembourg,2011-01-01,75+ years,male,30.79
7130,Czech Republic,1992-01-01,75+ years,female,30.79
25393,Trinidad and Tobago,1991-01-01,55-74 years,male,30.77
15338,Luxembourg,1987-01-01,55-74 years,female,30.77
25381,Trinidad and Tobago,1990-01-01,55-74 years,male,30.77
24509,Sweden,1998-01-01,55-74 years,male,30.77
20982,Russian Federation,1992-01-01,75+ years,female,30.75
7309,Czech Republic,2007-01-01,55-74 years,male,30.74
6457,Croatia,2002-01-01,35-54 years,male,30.73
9431,France,2013-01-01,55-74 years,male,30.69
11127,Guyana,1993-01-01,25-34 years,male,30.68
4781,Bulgaria,2004-01-01,55-74 years,male,30.68
7305,Czech Republic,2007-01-01,35-54 years,male,30.68
3563,Belgium,1995-01-01,25-34 years,male,30.67
22993,Slovakia,2010-01-01,35-54 years,male,30.67
9727,Germany,1991-01-01,35-54 years,male,30.66
11117,Guyana,1992-01-01,35-54 years,male,30.66
22997,Slovakia,2010-01-01,55-74 years,male,30.66
25549,Trinidad and Tobago,2004-01-01,55-74 years,male,30.65
22925,Slovakia,2004-01-01,55-74 years,male,30.65
27511,Uruguay,2012-01-01,25-34 years,male,30.64
25893,Turkmenistan,2001-01-01,35-54 years,male,30.64
9149,France,1990-01-01,25-34 years,male,30.63
23123,Slovenia,2002-01-01,25-34 years,male,30.63
11316,Guyana,2010-01-01,15-24 years,female,30.63
7333,Czech Republic,2009-01-01,55-74 years,male,30.63
21341,Saint Lucia,1989-01-01,55-74 years,male,30.62
16247,Mauritius,1990-01-01,35-54 years,male,30.61
14853,Latvia,2000-01-01,15-24 years,male,30.61
7249,Czech Republic,2002-01-01,55-74 years,male,30.61
27509,Uruguay,2012-01-01,15-24 years,male,30.6
7633,Denmark,2011-01-01,75+ years,male,30.6
4963,Canada,1988-01-01,75+ years,male,30.6
27355,Uruguay,1998-01-01,25-34 years,male,30.59
25519,Trinidad and Tobago,2002-01-01,25-34 years,male,30.59
1437,Australia,1985-01-01,75+ years,male,30.59
12463,Israel,1988-01-01,75+ years,male,30.59
7447,Denmark,1996-01-01,35-54 years,male,30.58
14850,Latvia,1999-01-01,75+ years,female,30.56
7166,Czech Republic,1995-01-01,75+ years,female,30.56
12203,Ireland,1997-01-01,25-34 years,male,30.55
20923,Romania,2015-01-01,55-74 years,male,30.54
13631,Japan,2007-01-01,25-34 years,male,30.54
12001,Iceland,2012-01-01,25-34 years,male,30.53
25563,Trinidad and Tobago,2005-01-01,75+ years,male,30.53
15479,Luxembourg,1999-01-01,35-54 years,male,30.53
16343,Mauritius,1998-01-01,35-54 years,male,30.52
13489,Japan,1995-01-01,35-54 years,male,30.5
9047,Finland,2012-01-01,55-74 years,male,30.5
11683,Iceland,1985-01-01,55-74 years,male,30.49
19737,Puerto Rico,1989-01-01,55-74 years,male,30.48
15249,Lithuania,2012-01-01,15-24 years,male,30.48
23033,Slovakia,2014-01-01,55-74 years,male,30.47
17715,New Zealand,2007-01-01,25-34 years,male,30.47
13619,Japan,2006-01-01,25-34 years,male,30.45
20659,Romania,1993-01-01,55-74 years,male,30.45
19071,Poland,1990-01-01,25-34 years,male,30.44
23135,Slovenia,2003-01-01,25-34 years,male,30.43
15102,Lithuania,1999-01-01,75+ years,female,30.43
23118,Slovenia,2001-01-01,75+ years,female,30.43
6683,Cuba,1996-01-01,35-54 years,male,30.42
19365,Portugal,1985-01-01,55-74 years,male,30.41
13715,Japan,2014-01-01,25-34 years,male,30.41
19091,Poland,1991-01-01,75+ years,male,30.41
17999,Norway,1996-01-01,75+ years,male,30.4
25501,Trinidad and Tobago,2000-01-01,55-74 years,male,30.4
5089,Canada,1999-01-01,35-54 years,male,30.4
20695,Romania,1996-01-01,55-74 years,male,30.39
7393,Czech Republic,2014-01-01,55-74 years,male,30.39
13691,Japan,2012-01-01,25-34 years,male,30.39
9035,Finland,2011-01-01,55-74 years,male,30.39
26869,United States,1986-01-01,55-74 years,male,30.39
20745,Romania,2000-01-01,75+ years,male,30.39
17629,New Zealand,2000-01-01,15-24 years,male,30.38
3575,Belgium,1996-01-01,25-34 years,male,30.38
1571,Australia,1997-01-01,15-24 years,male,30.37
7428,Denmark,1994-01-01,75+ years,female,30.36
11863,Iceland,2000-01-01,55-74 years,male,30.35
23960,Sri Lanka,1999-01-01,15-24 years,female,30.33
5035,Canada,1994-01-01,75+ years,male,30.33
9359,France,2007-01-01,55-74 years,male,30.31
13703,Japan,2013-01-01,25-34 years,male,30.31
22457,Singapore,1989-01-01,55-74 years,male,30.3
11691,Iceland,1986-01-01,35-54 years,male,30.3
25731,Turkmenistan,1987-01-01,75+ years,male,30.3
17667,New Zealand,2003-01-01,25-34 years,male,30.29
8957,Finland,2005-01-01,25-34 years,male,30.29
17909,Norway,1989-01-01,35-54 years,male,30.28
9419,France,2012-01-01,55-74 years,male,30.26
13465,Japan,1993-01-01,35-54 years,male,30.26
14877,Latvia,2002-01-01,15-24 years,male,30.22
22853,Slovakia,1998-01-01,55-74 years,male,30.19
8981,Finland,2007-01-01,25-34 years,male,30.18
19343,Poland,2014-01-01,75+ years,male,30.17
20569,Republic of Korea,2013-01-01,25-34 years,male,30.17
6635,Cuba,1992-01-01,35-54 years,male,30.16
20781,Romania,2003-01-01,75+ years,male,30.16
1501,Australia,1991-01-01,25-34 years,male,30.14
26881,United States,1987-01-01,55-74 years,male,30.14
11939,Iceland,2007-01-01,15-24 years,male,30.13
4841,Bulgaria,2009-01-01,55-74 years,male,30.13
16115,Malta,2010-01-01,35-54 years,male,30.13
24844,Switzerland,2004-01-01,75+ years,female,30.13
2007,Austria,2003-01-01,35-54 years,male,30.12
17901,Norway,1988-01-01,55-74 years,male,30.12
7471,Denmark,1998-01-01,35-54 years,male,30.12
14605,Kyrgyzstan,2000-01-01,35-54 years,male,30.12
3261,Belarus,1996-01-01,15-24 years,male,30.12
1537,Australia,1994-01-01,25-34 years,male,30.11
9439,France,2014-01-01,35-54 years,male,30.1
25377,Trinidad and Tobago,1990-01-01,35-54 years,male,30.09
13477,Japan,1994-01-01,35-54 years,male,30.08
1832,Austria,1988-01-01,75+ years,female,30.08
12053,Iceland,2016-01-01,55-74 years,male,30.08
27289,Uruguay,1990-01-01,55-74 years,male,30.08
9221,France,1996-01-01,25-34 years,male,30.08
24469,Sweden,1995-01-01,35-54 years,male,30.07
3369,Belarus,2008-01-01,15-24 years,male,30.06
20913,Romania,2014-01-01,75+ years,male,30.05
9803,Germany,1997-01-01,55-74 years,male,30.05
17475,New Zealand,1987-01-01,25-34 years,male,30.05
12373,Ireland,2011-01-01,35-54 years,male,30.04
12013,Iceland,2013-01-01,25-34 years,male,30.02
20671,Romania,1994-01-01,55-74 years,male,30.02
3455,Belgium,1986-01-01,25-34 years,male,30.02
8451,Estonia,2003-01-01,15-24 years,male,30.0
429,Antigua and Barbuda,2000-01-01,55-74 years,male,30.0
24371,Sweden,1987-01-01,25-34 years,male,29.99
14061,Kiribati,1992-01-01,15-24 years,male,29.99
22009,Serbia,2001-01-01,35-54 years,male,29.98
20637,Romania,1991-01-01,75+ years,male,29.98
16389,Mauritius,2002-01-01,25-34 years,male,29.98
22069,Serbia,2006-01-01,35-54 years,male,29.98
22663,Singapore,2006-01-01,75+ years,male,29.98
1779,Australia,2015-01-01,35-54 years,male,29.97
4133,Belize,2014-01-01,55-74 years,male,29.96
18059,Norway,2001-01-01,75+ years,male,29.96
24045,Suriname,1986-01-01,15-24 years,male,29.95
19725,Puerto Rico,1988-01-01,55-74 years,male,29.95
22927,Slovakia,2004-01-01,75+ years,male,29.94
9049,Finland,2012-01-01,75+ years,male,29.94
11293,Guyana,2008-01-01,15-24 years,male,29.94
8285,El Salvador,2009-01-01,25-34 years,male,29.94
12385,Ireland,2012-01-01,35-54 years,male,29.94
25767,Turkmenistan,1990-01-01,75+ years,male,29.94
24175,Suriname,1998-01-01,75+ years,male,29.94
8595,Estonia,2015-01-01,15-24 years,male,29.93
1605,Australia,1999-01-01,75+ years,male,29.93
17173,Netherlands,1993-01-01,75+ years,male,29.92
16227,Mauritius,1988-01-01,55-74 years,male,29.91
6553,Croatia,2010-01-01,35-54 years,male,29.9
12227,Ireland,1999-01-01,25-34 years,male,29.89
5039,Canada,1995-01-01,25-34 years,male,29.89
19733,Puerto Rico,1989-01-01,35-54 years,male,29.88
20408,Republic of Korea,1999-01-01,75+ years,female,29.88
5467,Chile,2001-01-01,75+ years,male,29.88
8463,Estonia,2004-01-01,15-24 years,male,29.88
3479,Belgium,1988-01-01,25-34 years,male,29.87
22973,Slovakia,2008-01-01,55-74 years,male,29.87
24383,Sweden,1988-01-01,25-34 years,male,29.85
10409,Grenada,1988-01-01,25-34 years,male,29.85
25903,Turkmenistan,2002-01-01,25-34 years,male,29.85
15965,Malta,1997-01-01,75+ years,male,29.85
24433,Sweden,1992-01-01,35-54 years,male,29.85
15611,Luxembourg,2010-01-01,35-54 years,male,29.82
9029,Finland,2011-01-01,25-34 years,male,29.82
24951,Switzerland,2013-01-01,55-74 years,male,29.81
19773,Puerto Rico,1992-01-01,55-74 years,male,29.81
11396,Hungary,1993-01-01,55-74 years,female,29.81
25555,Trinidad and Tobago,2005-01-01,25-34 years,male,29.81
2043,Austria,2006-01-01,35-54 years,male,29.81
7317,Czech Republic,2008-01-01,35-54 years,male,29.78
23948,Sri Lanka,1998-01-01,15-24 years,female,29.77
20805,Romania,2005-01-01,75+ years,male,29.76
15371,Luxembourg,1990-01-01,35-54 years,male,29.74
16365,Mauritius,2000-01-01,25-34 years,male,29.74
20933,Romania,2016-01-01,55-74 years,male,29.73
6414,Croatia,1998-01-01,75+ years,female,29.72
27401,Uruguay,2002-01-01,15-24 years,male,29.72
24449,Sweden,1993-01-01,55-74 years,male,29.71
25483,Trinidad and Tobago,1999-01-01,25-34 years,male,29.7
9715,Germany,1990-01-01,35-54 years,male,29.68
3011,Barbados,1995-01-01,25-34 years,male,29.66
4979,Canada,1990-01-01,25-34 years,male,29.63
25387,Trinidad and Tobago,1991-01-01,25-34 years,male,29.63
8362,Estonia,1995-01-01,55-74 years,female,29.63
15316,Luxembourg,1985-01-01,75+ years,female,29.63
9085,Finland,2015-01-01,75+ years,male,29.62
24975,Switzerland,2015-01-01,55-74 years,male,29.61
23104,Slovenia,2000-01-01,55-74 years,female,29.6
9791,Germany,1996-01-01,55-74 years,male,29.6
4817,Bulgaria,2007-01-01,55-74 years,male,29.59
19211,Poland,2003-01-01,75+ years,male,29.59
16319,Mauritius,1996-01-01,35-54 years,male,29.58
8511,Estonia,2008-01-01,15-24 years,male,29.58
14526,Kyrgyzstan,1993-01-01,75+ years,female,29.57
6647,Cuba,1993-01-01,35-54 years,male,29.55
7389,Czech Republic,2014-01-01,35-54 years,male,29.55
17579,New Zealand,1995-01-01,75+ years,male,29.55
24815,Switzerland,2002-01-01,35-54 years,male,29.55
9815,Germany,1998-01-01,55-74 years,male,29.55
1489,Australia,1990-01-01,25-34 years,male,29.54
4626,Bulgaria,1991-01-01,75+ years,female,29.53
1873,Austria,1992-01-01,25-34 years,male,29.52
3713,Belgium,2007-01-01,55-74 years,male,29.52
20961,Russian Federation,1991-01-01,15-24 years,male,29.51
9732,Germany,1991-01-01,75+ years,female,29.51
9720,Germany,1990-01-01,75+ years,female,29.51
17499,New Zealand,1989-01-01,25-34 years,male,29.5
24205,Suriname,2001-01-01,35-54 years,male,29.5
26857,United States,1985-01-01,55-74 years,male,29.5
15471,Luxembourg,1998-01-01,55-74 years,male,29.5
20935,Romania,2016-01-01,75+ years,male,29.49
7118,Czech Republic,1991-01-01,75+ years,female,29.47
8871,Finland,1998-01-01,15-24 years,male,29.47
11499,Hungary,2002-01-01,25-34 years,male,29.47
4975,Canada,1989-01-01,75+ years,male,29.46
14543,Kyrgyzstan,1995-01-01,25-34 years,male,29.46
4991,Canada,1991-01-01,25-34 years,male,29.46
1933,Austria,1997-01-01,25-34 years,male,29.46
9108,France,1986-01-01,75+ years,female,29.46
15675,Luxembourg,2015-01-01,55-74 years,male,29.45
22086,Serbia,2007-01-01,75+ years,female,29.45
16221,Mauritius,1988-01-01,25-34 years,male,29.44
3671,Belgium,2004-01-01,25-34 years,male,29.44
4877,Bulgaria,2012-01-01,55-74 years,male,29.44
14581,Kyrgyzstan,1998-01-01,35-54 years,male,29.44
27533,Uruguay,2014-01-01,15-24 years,male,29.44
20865,Romania,2010-01-01,75+ years,male,29.43
11707,Iceland,1987-01-01,55-74 years,male,29.41
16289,Mauritius,1993-01-01,75+ years,male,29.41
3809,Belgium,2015-01-01,55-74 years,male,29.41
11163,Guyana,1996-01-01,25-34 years,male,29.41
24868,Switzerland,2006-01-01,75+ years,female,29.39
14633,Kyrgyzstan,2002-01-01,55-74 years,male,29.38
1861,Austria,1991-01-01,25-34 years,male,29.37
20871,Romania,2011-01-01,35-54 years,male,29.37
25857,Turkmenistan,1998-01-01,35-54 years,male,29.35
17737,New Zealand,2009-01-01,15-24 years,male,29.35
26225,Ukraine,2000-01-01,15-24 years,male,29.35
16449,Mauritius,2007-01-01,25-34 years,male,29.35
24129,Suriname,1995-01-01,15-24 years,male,29.34
15563,Luxembourg,2006-01-01,35-54 years,male,29.33
22093,Serbia,2008-01-01,35-54 years,male,29.33
24473,Sweden,1995-01-01,55-74 years,male,29.32
1916,Austria,1995-01-01,75+ years,female,29.32
24803,Switzerland,2001-01-01,35-54 years,male,29.32
24437,Sweden,1992-01-01,55-74 years,male,29.32
5041,Canada,1995-01-01,35-54 years,male,29.29
8213,El Salvador,2003-01-01,25-34 years,male,29.28
25339,Trinidad and Tobago,1987-01-01,25-34 years,male,29.27
16281,Mauritius,1993-01-01,25-34 years,male,29.27
17883,Norway,1987-01-01,25-34 years,male,29.27
19581,Portugal,2003-01-01,55-74 years,male,29.26
13051,Italy,2006-01-01,75+ years,male,29.26
1811,Austria,1987-01-01,15-24 years,male,29.24
4657,Bulgaria,1994-01-01,35-54 years,male,29.24
24461,Sweden,1994-01-01,55-74 years,male,29.23
7297,Czech Republic,2006-01-01,55-74 years,male,29.23
21078,Russian Federation,2000-01-01,75+ years,female,29.22
20027,Puerto Rico,2013-01-01,75+ years,male,29.22
22975,Slovakia,2008-01-01,75+ years,male,29.22
12217,Ireland,1998-01-01,35-54 years,male,29.2
13746,Kazakhstan,1990-01-01,75+ years,female,29.2
8575,Estonia,2013-01-01,35-54 years,male,29.2
9067,Finland,2014-01-01,35-54 years,male,29.2
22253,Seychelles,2003-01-01,55-74 years,male,29.2
4955,Canada,1988-01-01,25-34 years,male,29.19
25447,Trinidad and Tobago,1996-01-01,25-34 years,male,29.18
17531,New Zealand,1991-01-01,75+ years,male,29.16
24760,Switzerland,1997-01-01,75+ years,female,29.16
12739,Israel,2011-01-01,75+ years,male,29.16
20520,Republic of Korea,2009-01-01,25-34 years,female,29.16
5059,Canada,1996-01-01,75+ years,male,29.15
17885,Norway,1987-01-01,35-54 years,male,29.14
1521,Australia,1992-01-01,75+ years,male,29.14
19083,Poland,1991-01-01,25-34 years,male,29.13
1921,Austria,1996-01-01,25-34 years,male,29.13
8415,Estonia,2000-01-01,15-24 years,male,29.12
9744,Germany,1992-01-01,75+ years,female,29.11
8537,Estonia,2010-01-01,25-34 years,male,29.1
23082,Slovenia,1998-01-01,75+ years,female,29.1
17565,New Zealand,1994-01-01,55-74 years,male,29.1
20793,Romania,2004-01-01,75+ years,male,29.09
17921,Norway,1990-01-01,35-54 years,male,29.09
1897,Austria,1994-01-01,25-34 years,male,29.08
8919,Finland,2002-01-01,15-24 years,male,29.08
13453,Japan,1992-01-01,35-54 years,male,29.05
20817,Romania,2006-01-01,75+ years,male,29.04
25951,Turkmenistan,2006-01-01,25-34 years,male,29.04
3450,Belgium,1985-01-01,75+ years,female,29.03
18419,Panama,2003-01-01,75+ years,male,29.03
12035,Iceland,2015-01-01,15-24 years,male,29.03
1477,Australia,1989-01-01,25-34 years,male,29.02
4999,Canada,1991-01-01,75+ years,male,29.02
17761,New Zealand,2011-01-01,15-24 years,male,29.01
25353,Trinidad and Tobago,1988-01-01,35-54 years,male,29.01
12595,Israel,1999-01-01,75+ years,male,29.01
17125,Netherlands,1989-01-01,75+ years,male,29.0
17933,Norway,1991-01-01,35-54 years,male,28.99
11689,Iceland,1986-01-01,25-34 years,male,28.99
8129,El Salvador,1996-01-01,25-34 years,male,28.98
5053,Canada,1996-01-01,35-54 years,male,28.98
13595,Japan,2004-01-01,25-34 years,male,28.97
21461,Saint Lucia,1999-01-01,55-74 years,male,28.97
4753,Bulgaria,2002-01-01,35-54 years,male,28.96
23924,Sri Lanka,1996-01-01,15-24 years,female,28.96
24409,Sweden,1990-01-01,35-54 years,male,28.96
15508,Luxembourg,2001-01-01,75+ years,female,28.95
15483,Luxembourg,1999-01-01,55-74 years,male,28.95
6671,Cuba,1995-01-01,35-54 years,male,28.95
25453,Trinidad and Tobago,1996-01-01,55-74 years,male,28.94
1465,Australia,1988-01-01,25-34 years,male,28.94
14579,Kyrgyzstan,1998-01-01,25-34 years,male,28.94
6707,Cuba,1998-01-01,35-54 years,male,28.92
9120,France,1987-01-01,75+ years,female,28.92
8388,Estonia,1997-01-01,75+ years,female,28.91
21437,Saint Lucia,1997-01-01,55-74 years,male,28.91
14874,Latvia,2001-01-01,75+ years,female,28.91
11511,Hungary,2003-01-01,25-34 years,male,28.9
3527,Belgium,1992-01-01,25-34 years,male,28.89
15114,Lithuania,2000-01-01,75+ years,female,28.89
23997,Sri Lanka,2002-01-01,15-24 years,male,28.89
9739,Germany,1992-01-01,35-54 years,male,28.88
25449,Trinidad and Tobago,1996-01-01,35-54 years,male,28.88
3515,Belgium,1991-01-01,25-34 years,male,28.88
9839,Germany,2000-01-01,55-74 years,male,28.86
25369,Trinidad and Tobago,1989-01-01,55-74 years,male,28.85
5003,Canada,1992-01-01,25-34 years,male,28.85
14641,Kyrgyzstan,2003-01-01,35-54 years,male,28.84
